Individual,figure,filename,Experiment,treatment,dpf,protocol,clutch,sample purpose
KO_A5,3,iSeq048-TM-LHamp-186-cREG1-100-100d_S285_L001_R1_001.fastq,45S-M_KO_100dpf,cas9-guide RNP (3 guides targeting 45S-M promoter),100,lh-amp,A,ref.conformity
KO_A5,3,iSeq048-TM-LHamp-186-cREG1-100-100d_S285_L001_R2_001.fastq,45S-M_KO_100dpf,cas9-guide RNP (3 guides targeting 45S-M promoter),100,lh-amp,A,ref.conformity
KO_A6,3,iSeq048-TM-LHamp-187-cREG1-100-100d_S286_L001_R1_001.fastq,45S-M_KO_100dpf,cas9-guide RNP (3 guides targeting 45S-M promoter),100,lh-amp,A,ref.conformity
KO_A6,3,iSeq048-TM-LHamp-187-cREG1-100-100d_S286_L001_R2_001.fastq,45S-M_KO_100dpf,cas9-guide RNP (3 guides targeting 45S-M promoter),100,lh-amp,A,ref.conformity
KO_A7,3,iSeq048-TM-LHamp-188-cREG1-100-100d_S287_L001_R1_001.fastq,45S-M_KO_100dpf,cas9-guide RNP (3 guides targeting 45S-M promoter),100,lh-amp,A,ref.conformity
KO_A7,3,iSeq048-TM-LHamp-188-cREG1-100-100d_S287_L001_R2_001.fastq,45S-M_KO_100dpf,cas9-guide RNP (3 guides targeting 45S-M promoter),100,lh-amp,A,ref.conformity
KO_A8,3,iSeq048-TM-LHamp-189-cREG1-100-100d_S288_L001_R1_001.fastq,45S-M_KO_100dpf,cas9-guide RNP (3 guides targeting 45S-M promoter),100,lh-amp,A,ref.conformity
KO_A8,3,iSeq048-TM-LHamp-189-cREG1-100-100d_S288_L001_R2_001.fastq,45S-M_KO_100dpf,cas9-guide RNP (3 guides targeting 45S-M promoter),100,lh-amp,A,ref.conformity
KO_A9,3,iSeq048-TM-LHamp-190-cREG1-100-100d_S289_L001_R1_001.fastq,45S-M_KO_100dpf,cas9-guide RNP (3 guides targeting 45S-M promoter),100,lh-amp,A,ref.conformity
KO_A9,3,iSeq048-TM-LHamp-190-cREG1-100-100d_S289_L001_R2_001.fastq,45S-M_KO_100dpf,cas9-guide RNP (3 guides targeting 45S-M promoter),100,lh-amp,A,ref.conformity
KO_A10,3,iSeq048-TM-LHamp-191-cREG1-100-100d_S290_L001_R1_001.fastq,45S-M_KO_100dpf,cas9-guide RNP (3 guides targeting 45S-M promoter),100,lh-amp,A,ref.conformity
KO_A10,3,iSeq048-TM-LHamp-191-cREG1-100-100d_S290_L001_R2_001.fastq,45S-M_KO_100dpf,cas9-guide RNP (3 guides targeting 45S-M promoter),100,lh-amp,A,ref.conformity
KO_A11,3,iSeq048-TM-LHamp-192-cREG1-100-100d_S291_L001_R1_001.fastq,45S-M_KO_100dpf,cas9-guide RNP (3 guides targeting 45S-M promoter),100,lh-amp,A,ref.conformity
KO_A11,3,iSeq048-TM-LHamp-192-cREG1-100-100d_S291_L001_R2_001.fastq,45S-M_KO_100dpf,cas9-guide RNP (3 guides targeting 45S-M promoter),100,lh-amp,A,ref.conformity
KO_A12,3,iSeq048-TM-LHamp-193-cREG1-100-100d_S292_L001_R1_001.fastq,45S-M_KO_100dpf,cas9-guide RNP (3 guides targeting 45S-M promoter),100,lh-amp,A,ref.conformity
KO_A12,3,iSeq048-TM-LHamp-193-cREG1-100-100d_S292_L001_R2_001.fastq,45S-M_KO_100dpf,cas9-guide RNP (3 guides targeting 45S-M promoter),100,lh-amp,A,ref.conformity
KO_A13,3,iSeq048-TM-LHamp-194-cREG1-100-100d_S293_L001_R1_001.fastq,45S-M_KO_100dpf,cas9-guide RNP (3 guides targeting 45S-M promoter),100,lh-amp,A,ref.conformity
KO_A13,3,iSeq048-TM-LHamp-194-cREG1-100-100d_S293_L001_R2_001.fastq,45S-M_KO_100dpf,cas9-guide RNP (3 guides targeting 45S-M promoter),100,lh-amp,A,ref.conformity
KO_A14,3,iSeq048-TM-LHamp-195-cREG1-100-100d_S294_L001_R1_001.fastq,45S-M_KO_100dpf,cas9-guide RNP (3 guides targeting 45S-M promoter),100,lh-amp,A,ref.conformity
KO_A14,3,iSeq048-TM-LHamp-195-cREG1-100-100d_S294_L001_R2_001.fastq,45S-M_KO_100dpf,cas9-guide RNP (3 guides targeting 45S-M promoter),100,lh-amp,A,ref.conformity
KO_A15,3,iSeq048-TM-LHamp-196-cREG1-100-100d_S295_L001_R1_001.fastq,45S-M_KO_100dpf,cas9-guide RNP (3 guides targeting 45S-M promoter),100,lh-amp,A,ref.conformity
KO_A15,3,iSeq048-TM-LHamp-196-cREG1-100-100d_S295_L001_R2_001.fastq,45S-M_KO_100dpf,cas9-guide RNP (3 guides targeting 45S-M promoter),100,lh-amp,A,ref.conformity
KO_C1,3,iSeq048-TM-LHamp-211-cREG1-100-100d_S310_L001_R1_001.fastq,45S-M_KO_100dpf,cas9-guide RNP (3 guides targeting 45S-M promoter),100,lh-amp,C,ref.conformity
KO_C1,3,iSeq048-TM-LHamp-211-cREG1-100-100d_S310_L001_R2_001.fastq,45S-M_KO_100dpf,cas9-guide RNP (3 guides targeting 45S-M promoter),100,lh-amp,C,ref.conformity
KO_C2,3,iSeq048-TM-LHamp-212-cREG1-100-100d_S311_L001_R1_001.fastq,45S-M_KO_100dpf,cas9-guide RNP (3 guides targeting 45S-M promoter),100,lh-amp,C,ref.conformity
KO_C2,3,iSeq048-TM-LHamp-212-cREG1-100-100d_S311_L001_R2_001.fastq,45S-M_KO_100dpf,cas9-guide RNP (3 guides targeting 45S-M promoter),100,lh-amp,C,ref.conformity
KO_C3,3,iSeq048-TM-LHamp-213-cREG1-100-100d_S312_L001_R1_001.fastq,45S-M_KO_100dpf,cas9-guide RNP (3 guides targeting 45S-M promoter),100,lh-amp,C,ref.conformity
KO_C3,3,iSeq048-TM-LHamp-213-cREG1-100-100d_S312_L001_R2_001.fastq,45S-M_KO_100dpf,cas9-guide RNP (3 guides targeting 45S-M promoter),100,lh-amp,C,ref.conformity
KO_C4,3,iSeq048-TM-LHamp-214-cREG1-100-100d_S313_L001_R1_001.fastq,45S-M_KO_100dpf,cas9-guide RNP (3 guides targeting 45S-M promoter),100,lh-amp,C,ref.conformity
